鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,source_file,x,y,最近捷運站,捷運站距離(公尺),文湖線,淡水信義線,新北投支線,松山新店線,小碧潭支線,中和新蘆線,板南線,環狀線,通車日期
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,26.84,住,,,1140316,土地2建物1車位1,十層,26,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,190.26,3,2,2,有,無,53850000,306098,坡道平面,24.79,3200000,,RPVNMLOLLHKGFAA87CB,元利四季莊園,F棟10F-F05號,,a_lvr_land_b.csv,,,121.546508024074,24.986870487703,大坪林,729.3639971106289,0,0,0,1,0,0,0,0,1999-11-11
中正區,房地(土地+建物),臺北市中正區重慶南路三段三巷１０號,8.87,住,,,1140312,土地7建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,46.46,0,1,1,有,無,21290000,458244,,0.0,0,本戶有露台約定專用面積,RPWNMLOLLHKGFAA97CB,陞遠琚,D-10F號,,a_lvr_land_b.csv,,,121.515913988238,25.029377008336,中正紀念堂,472.7539783394962,0,1,0,1,0,0,0,0,1998-12-24
大同區,房地(土地+建物)+車位,臺北市大同區民權西路160巷26弄,21.21,住,,,1140318,土地20建物1車位2,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,212.92,3,2,2,有,無,52550000,336315,坡道平面,75.4,6300000,,RPQNMLPLLHKGFBA57CB,大同新豐采,A1-10F號,,a_lvr_land_b.csv,,,121.514773212595,25.061654899286,大橋頭,299.7788621573272,0,0,0,0,0,1,0,0,2010-11-03
中山區,房地(土地+建物)+車位,臺北市中山區北安路759巷2號,8.96,住,,,1140317,土地10建物1車位1,十九層,31,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,114.84,2,2,2,有,無,43980000,473064,坡道平面,30.01,3850000,,RPQNMLPLLHKGFCA67CB,TOP31,B2-19F號,,a_lvr_land_b.csv,,,121.552895028867,25.086024005472,劍南路,254.81990180271094,1,0,0,0,0,0,0,0,2009-07-04
士林區,房地(土地+建物)+車位,臺北市士林區福林路377號,15.73,住,,,1140316,土地7建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.07,2,1,2,有,無,31900000,353258,坡道平面,40.26,3000000,,RPRNMLPLLHKGFEA97CB,溪泊林,A棟A3號,,a_lvr_land_b.csv,,,121.535703650308,25.098913165375,士林,1116.7889514217704,0,1,0,0,0,0,0,0,1997-03-28
北投區,房地(土地+建物)+車位,臺北市北投區洲美里福善路,29.46,住,,,1140315,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.9,3,2,2,有,無,38400000,317248,坡道平面,29.0,2900000,,RPTNMLPLLHKGFEA18CB,達麗河?,B棟B6-4F號,,a_lvr_land_b.csv,,,121.511430498549,25.09950521006,芝山,1163.159897623895,0,1,0,0,0,0,0,0,1997-03-28
大安區,房地(土地+建物),臺北市大安區古風里泰順街62巷與辛亥路一段77巷巷口,8.73,住,,,1140318,土地27建物1車位0,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,60.57,1,2,1,有,無,28570000,471686,,0.0,0,,RPWNMLPLLHKGFFA58CB,文与堂,A棟A5-05F號,,a_lvr_land_b.csv,,,121.530335010742,25.021290504384,台電大樓,256.6734569110018,0,0,0,1,0,0,0,0,1999-11-11
中正區,房地(土地+建物)+車位,臺北市中正區杭州南路一段143巷,20.86,住,,,1140316,土地9建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,140.87,3,2,2,有,無,52740000,458270,坡道平面,34.95,4200000,,RPPNMLRLLHKGFBA67CB,皇翔柏悅,A6棟4F號,,a_lvr_land_b.csv,,,121.525997524293,25.035868374084,東門,276.8941337696186,0,1,0,0,0,1,0,0,2012-09-30
松山區,房地(土地+建物),臺北市松山區南京東路五段２９１巷２９弄２３號,12.68,住,,,1140315,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,64.15,2,1,1,有,無,24000000,374123,,0.0,0,,RPWNMLSLLHKGFDA68CB,京釀,A1-4F號,,a_lvr_land_b.csv,,,121.566874031707,25.052954002774,南京三民,397.90247941146646,0,0,0,1,0,0,0,0,2014-11-15
內湖區,房地(土地+建物)+車位,臺北市內湖區石潭里民權東路六段180巷,31.65,住,,,1140315,土地6建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.18,2,2,1,有,無,29000000,293458,坡道平面,36.07,2850000,,RPPNMLKMLHKGFCA17CB,和暘夏灣,A棟A1-5F號,,a_lvr_land_b.csv,,,121.59268305683,25.067158837123,文德,1463.4977451115637,1,0,0,0,0,0,0,0,2009-07-04
內湖區,房地(土地+建物)+車位,臺北市內湖區石潭里民權東路六段180巷,27.97,住,,,1140315,土地6建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.14,2,2,2,有,無,26670000,302517,坡道平面,36.07,2750000,,RPQNMLKMLHKGFCA27CB,和暘夏灣,A棟A3-4F號,,a_lvr_land_b.csv,,,121.59268305683,25.067158837123,文德,1463.4977451115637,1,0,0,0,0,0,0,0,2009-07-04
內湖區,房地(土地+建物)+車位,臺北市內湖區石潭里民權東路六段180巷,31.87,住,,,1140318,土地6建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.95,2,2,1,有,無,28170000,280596,坡道平面,36.07,2950000,,RPRNMLKMLHKGFCA37CB,和暘夏灣,B棟B5-3F號,,a_lvr_land_b.csv,,,121.59268305683,25.067158837123,文德,1463.4977451115637,1,0,0,0,0,0,0,0,2009-07-04
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,27.83,住,,,1140315,土地2建物1車位1,六層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,196.3,3,2,2,有,無,53710000,294502,坡道平面,24.79,3200000,,RPPNMLLMLHKGFAA07CB,元利四季莊園,A棟06F-A01號,,a_lvr_land_b.csv,,,121.546508024074,24.986870487703,大坪林,729.3639971106289,0,0,0,1,0,0,0,0,1999-11-11
文山區,房地(土地+建物)+車位,臺北市文山區木柵路二段１６８巷１號,19.95,住,,,1140314,土地26建物1車位1,八層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,161.66,3,2,2,有,無,38540000,273454,坡道平面,32.79,3300000,雨遮面積登計不計價,RPROMLLMLHKGFAA37CB,將捷旅境.-真境,B棟B1-8F號,,a_lvr_land_b.csv,,,121.562479986605,24.988686011633,萬芳社區,1252.0454077236982,1,0,0,0,0,0,0,0,1996-03-28
松山區,房地(土地+建物),臺北市松山區南京東路五段２９１巷２９弄２３號,12.68,住,,,1140317,土地1建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,64.15,2,1,1,有,無,25500000,397506,,0.0,0,,RPPNMLLMLHKGFDA37CB,京釀,A1-8F號,,a_lvr_land_b.csv,,,121.566874031707,25.052954002774,南京三民,397.90247941146646,0,0,0,1,0,0,0,0,2014-11-15
大安區,房地(土地+建物),臺北市大安區安東街35巷,9.77,住,,,1140315,土地1建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.15,2,1,1,有,無,31800000,511665,,0.0,0,,RPPNMLLMLHKGFFA57CB,親家JIA,E號,,a_lvr_land_b.csv,,,121.542361983588,25.04354189301,忠孝復興,209.36982032410816,1,0,0,0,0,0,1,0,1996-03-28
文山區,房地(土地+建物),臺北市文山區木柵路二段１６８巷１號,19.76,住,,,1140319,土地26建物1車位0,五層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,126.25,3,2,2,有,無,34170000,270653,,0.0,0,雨遮面積登記不計價,RPPNMLLJMHKGFAA86CB,將捷旅境.-真境,B棟B3-5F號,,a_lvr_land_b.csv,,,121.562479986605,24.988686011633,萬芳社區,1252.0454077236982,1,0,0,0,0,0,0,0,1996-03-28
北投區,房地(土地+建物)+車位,臺北市北投區石牌路二段315巷,28.85,住,,,1140313,土地2建物1車位2,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.02,3,2,2,有,無,40000000,261047,坡道平面,66.86,5500000,洗脫烘衣機、冰箱、電視、空調親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMJMHKGFEA37CB,龍霖初心,A6-08F號,,a_lvr_land_b.csv,,,121.52176845674,25.123230424645,石牌,1129.2212826983316,0,1,0,0,0,0,0,0,1997-03-28
大安區,房地(土地+建物),臺北市大安區和平東路三段506號,13.5,住,,,1140314,土地10建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.99,2,2,1,有,無,23100000,339756,,0.0,0,,RPSNMLRJMHKGFFA28CB,大安文硯,H棟0號,,a_lvr_land_b.csv,,,121.560631860774,25.015940985184,麟光,355.0931569482227,1,0,0,0,0,0,0,0,1996-03-28
中山區,房地(土地+建物)+車位,臺北市中山區中山區新生里新生北路二段137巷1號旁,13.15,住,,,1140315,土地16建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.59,3,1,2,有,無,44340000,347710,坡道平面,25.26,2500000,,RPRNMLSJMHKGFCA97CB,鼎吉中山,A1-4F號,,a_lvr_land_b.csv,,,121.527945958789,25.061348017799,中山國小,249.5650910502348,0,0,0,0,0,1,0,0,2010-11-03
北投區,房地(土地+建物)+車位,臺北市北投區文林北路與文承路交叉口,37.62,住,,,1140319,土地2建物1車位2,二十三層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,249.34,3,2,3,有,無,72160000,345532,坡道平面,57.52,5880000,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKMHKGFEA47CB,華固上文林,A1-23號,,a_lvr_land_b.csv,,,121.516561406439,25.106054993861,明德,445.1156479439219,0,1,0,0,0,0,0,0,1997-03-28
信義區,房地(土地+建物)+車位,臺北市信義區虎林街202巷6-16號,14.84,住,,,1140320,土地19建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.98,2,2,1,有,無,33350000,405264,塔式車位,15.61,2400000,,RPPNMLSKMHKGFDA97CB,信義蒔代,B2-02F號,,a_lvr_land_b.csv,,,121.576710027445,25.038232991955,永春,346.38577883800787,0,0,0,0,0,0,1,0,2000-12-30
