鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,source_file,x,y,最近捷運站,捷運站距離(公尺),文湖線,淡水信義線,新北投支線,松山新店線,小碧潭支線,中和新蘆線,板南線,環狀線,通車日期
中正區,房地(土地+建物),臺北市中正區杭州南路一段１１１巷２８之１號,36.75,住,,,1140325,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),,加強磚造,560823.0,92.26,3,2,2,有,無,20000000,216779,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLTJMHKGFBA58DA,92.26,0.0,0.0,無,,a_lvr_land_a.csv,121.526288018341,25.036608998215,東門,322.30191238585695,0,1,0,0,0,1,0,0,2012-09-30
內湖區,房地(土地+建物),臺北市內湖區江南街６５巷１３號五樓,27.56,都市：其他:第三種住宅區。,,,1140311,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700327.0,102.34,3,2,2,有,無,16800000,164159,,0.0,0,其他增建；,RPUNMLSLLHKGFCA38DA,88.44,0.0,13.9,無,,a_lvr_land_a.csv,121.577810990428,25.077203016298,港墘,383.3363331687255,1,0,0,0,0,0,0,0,2009-07-04
內湖區,房地(土地+建物)+車位,臺北市內湖區文德路２２巷９弄６４號七樓,38.09,都市：其他:第三種住宅區。,,,1140302,土地1建物1車位2,九層，十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800108.0,213.23,6,2,3,有,有,42280000,216585,坡道機械,34.64,3600000,陽台外推；夾層；其他增建；,RPTNMLMJMHKGFCA57DA,137.62,4.14,15.4,有,24.0,a_lvr_land_a.csv,121.579226023322,25.076458996663,港墘,534.4814223618747,1,0,0,0,0,0,0,0,2009-07-04
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段１９１巷３８弄９號,85.67,都市：其他:第二種住宅區。,,,1140316,土地1建物1車位1,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,861122.0,162.44,6,2,2,有,無,40000000,246245,坡道平面,26.73,0,空地增建陽台外推；夾層；其他增建；,RPWOMLSJMHKGFCA58DA,95.99,0.0,7.75,無,,a_lvr_land_a.csv,121.598011963814,25.069121981537,葫洲,1080.638387208847,1,0,0,0,0,0,0,0,2009-07-04
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段３１６號,97.0,都市：其他:科技工業區(A區)(不得作住宅使用)。,,,1140303,土地1建物1車位5,一層,十三層,住宅大樓(11層含以上有電梯),商業用,見使用執照,910520.0,644.78,0,0,0,無,有,198880000,424030,坡道平面,199.34,10000000,,RPSPMLSJMHKGFCA28DA,338.87,0.0,20.43,有,,a_lvr_land_a.csv,121.569518019245,25.081588008945,西湖,300.95619025449855,1,0,0,0,0,0,0,0,2009-07-04
松山區,房地(土地+建物),臺北市松山區健康路１８５巷１６號七樓,28.74,住,,,1140301,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810309.0,134.34,3,2,2,有,有,35500000,264255,,0.0,0,陽台外推；其他增建；,RPROMLOLLHKGFDA87DA,87.41,0.0,8.18,有,26.0,a_lvr_land_a.csv,121.561669959483,25.054951997034,南京三民,400.0625338020251,0,0,0,1,0,0,0,0,2014-11-15
松山區,房地(土地+建物),臺北市松山區民生東路四段９７巷２弄２１號二樓,38.33,都市：其他:住宅用地(民生社區特定專用區)。,,,1140318,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,570105.0,66.67,3,2,2,有,無,18000000,269987,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLSJMHKGFDA28DA,66.67,0.0,0.0,無,,a_lvr_land_a.csv,121.553322003015,25.058659019442,松山機場,567.6560270773614,1,0,0,0,0,0,0,0,2009-07-04
松山區,房地(土地+建物),臺北市松山區新東街３巷１０號三樓,37.5,都市：其他:住宅用地(民生社區特定專用區)。,,,1140303,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620720.0,100.67,3,2,1,有,無,21980000,218337,,0.0,0,,RPRPMLTJMHKGFDA38DA,92.01,0.0,8.66,無,,a_lvr_land_a.csv,121.565423962458,25.057461999849,南京三民,685.6797714539291,0,0,0,1,0,0,0,0,2014-11-15
北投區,房地(土地+建物),臺北市北投區崗山路１７巷５號三樓,28.14,住,,,1140302,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691015.0,81.3,3,2,1,有,無,8600000,105781,,0.0,0,其他增建；,RPSNMLMJMHKGFEA67DA,68.94,0.0,12.36,無,,a_lvr_land_a.csv,121.486135014094,25.14101901331,復興崗,380.08496520917345,0,1,0,0,0,0,0,0,1997-03-28
中山區,房地(土地+建物),臺北市中山區一江街２２號二樓之１,21.32,住,,,1140318,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661102.0,124.85,3,2,2,有,無,28000000,224269,,0.0,0,,RPSNMLLKMHKGFCA57EA,103.55,0.0,5.95,有,,a_lvr_land_a.csv,121.531414977057,25.052679998359,松江南京,135.24033361354384,0,0,0,1,0,1,0,0,2010-11-03
