鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,source_file
"中山區","租賃房屋","臺北市中山區林森北路５８７號１０樓之９","0.0","","","","1140313","土地0建物1車位0","十層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1000726","88.99000000000001","1","1","1","有","有","有","51000","573","","0.0","0","租金總額含管理費；其他租金內含所得稅、健保補充保費；續租案件；","RPWOMLNKLHKGFCA18CC","整棟(戶)出租","有","1140423~1150422","有","冷氣、熱水器、洗衣機、電視機、冰箱","","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區復興北路４００號１３樓之４","0.0","","","","1140311","土地0建物1車位0","十三層","18","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0751125","175.51999999999998","4","2","3","有","有","有","52000","296","","0.0","0","","RPPPMLNKLHKGFCA57CC","整棟(戶)出租","有","1140401~1160331","有","冷氣、熱水器、瓦斯或天然氣","一般包租","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區新生北路２段６２巷１６號１２樓之２","0.0","","","","1140313","土地0建物1車位0","十二層","19","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造","1050322","128.32","3","1","2","有","有","有","70000","546","","0.0","0","租金總額含管理費；其他租金內含所得稅、健保補充保費；續租案件；","RPQPMLNKLHKGFCA67CC","整棟(戶)出租","有","1140401~1160331","有","冷氣、熱水器、洗衣機、電視機、冰箱","","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區富錦街４０３號","0.0","","","","1140311","土地0建物1車位0","一層","4","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0580911","154.77","0","0","0","無","無","無","140000","905","","0.0","0","每月壹拾肆萬元租金含租賃所得之代扣繳稅額，不含二代健保補充保費。租金總額含稅；","RPSNMLNKLHKGFDA77CC","","無","1140401~1200331","無","冷氣","","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區光復北路１４６號７樓","0.0","","","","1140313","土地0建物1車位0","七層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0720701","117.91","3","2","2","有","有","無","47000","399","","0.0","0","","RPOOMLNKLHKGFDA47CC","整棟(戶)出租","無","1140401~1170331","有","","","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區後港街１６０號７樓","0.0","","","","1140311","土地0建物1車位0","七層","12","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0860822","102.54","2","2","2","有","有","有","35000","341","","0.0","0","","RPQNMLNKLHKGFEA67CC","整棟(戶)出租","有","1140313~1150312","有","冷氣、熱水器、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區天母東路８巷２１號６樓之１０","0.0","","","","1140311","土地0建物1車位0","六層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0650802","45.160000000000004","1","0","1","有","有","有","17500","388","","0.0","0","","RPWNMLNKLHKGFEA28CC","獨立套房","有","1140320~1150319","有","冷氣、熱水器、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區新生南路一段１３９巷１２號２樓","0.0","","","","1140313","土地0建物1車位0","二層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0650721","139.79","3","2","2","有","有","無","47000","336","","0.0","0","含增建或未登記建物；","RPWNMLNKLHKGFFA38CC","整棟(戶)出租","無","1140314~1160313","有","冷氣、熱水器","","a_lvr_land_c.csv"
"文山區","租賃房屋","臺北市文山區景興路２３５號十四樓之１","0.0","","","","1140311","土地0建物1車位0","十四層","16","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0840802","88.42999999999999","2","1","2","有","有","有","23300","263","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。管理費2200元由出租人負擔。","RPUNMLOKLHKGFAA77CC","整棟(戶)出租","有","1140326~1150325","有","冷氣、熱水器","社會住宅代管","a_lvr_land_c.csv"
"文山區","租賃房屋","臺北市文山區木柵路四段３３巷４號４樓","0.0","","","","1140313","土地0建物1車位0","四層","5","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0810513","84.64999999999999","2","2","1","有","有","有","19800","234","","0.0","0","","RPWNMLOKLHKGFAA97CC","整棟(戶)出租","有","1140401~1150331","有","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
