鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,source_file
"信義區","租賃房屋","臺北市信義區基隆路一段３５０號５樓之２８","0.0","","","","1140314","土地0建物1車位0","五層","6","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0621124","48.53","2","1","1","有","有","有","16000","330","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPUNMLKLLHKGFDA77CC","整棟(戶)出租","有","1140316~1150315","無","冷氣、熱水器、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區敦化北路１００號","0.0","","","","1140311","土地0建物0車位0","十層","15","住宅大樓(11層含以上有電梯)","商業用","鋼骨鋼筋混凝土造","0721005","30.73","300","10","300","有","無","有","20500","667","","0.0","0","租賃建物部分範圍，且未計入共有部分面積；","RPVNMLKLLHKGFDA87CC","分租套房","有","1140311~1150310","有","冷氣、電視機、冰箱","一般轉租","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區敦化北路１００號","0.0","","","","1140311","土地0建物0車位0","十層","15","住宅大樓(11層含以上有電梯)","商業用","鋼骨鋼筋混凝土造","0721005","30.73","300","10","300","有","無","有","20500","667","","0.0","0","租賃建物部分範圍，且未計入共有部分面積；","RPWNMLKLLHKGFDA97CC","分租套房","有","1140311~1150310","有","冷氣、電視機、冰箱","一般轉租","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區敦化北路１００號","0.0","","","","1140312","土地0建物0車位0","十二層","15","住宅大樓(11層含以上有電梯)","商業用","鋼骨鋼筋混凝土造","0721005","30.73","300","10","300","有","無","有","20500","667","","0.0","0","租賃建物部分範圍，且未計入共有部分面積；","RPXNMLKLLHKGFDA08CC","分租套房","有","1140312~1150311","有","冷氣、電視機、冰箱","一般轉租","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區敦化北路１００號","0.0","","","","1140312","土地0建物0車位0","十三層","15","住宅大樓(11層含以上有電梯)","商業用","鋼骨鋼筋混凝土造","0721005","30.73","300","10","300","有","無","有","25910","843","","0.0","0","租賃建物部分範圍，且未計入共有部分面積；","RPPOMLKLLHKGFDA37CC","分租套房","有","1140312~1150314","有","冷氣、冰箱","一般轉租","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區敦化南路一段１００巷７弄１０號２樓","0.0","","","","1140319","土地0建物1車位0","二層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","1030521","131.63","3","2","2","有","有","有","77369","588","","0.0","0","續租案件；","RPQOMLKLLHKGFDA47CC","整棟(戶)出租","有","1140425~1150424","有","冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路","","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區敦化北路１００號","0.0","","","","1140311","土地0建物0車位0","十三層","15","住宅大樓(11層含以上有電梯)","商業用","鋼骨鋼筋混凝土造","0721005","30.73","300","10","300","有","無","有","19500","635","","0.0","0","租賃建物部分範圍，且未計入共有部分面積；","RPROMLKLLHKGFDA57CC","分租套房","有","1140311~1151120","有","冷氣、電視機、冰箱","一般轉租","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區延壽街３３０巷７弄４號１樓","0.0","","","","1140318","土地0建物1車位0","一層","7","華廈(10層含以下有電梯)","集合住宅","鋼筋混凝土造","0810309","103.13000000000001","2","2","1","有","有","有","35000","339","","0.0","0","","RPTOMLKLLHKGFDA77CC","整棟(戶)出租","有","1140318~1150317","有","冷氣、熱水器、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區敦化北路１００號","0.0","","","","1140313","土地0建物0車位0","五層","15","住宅大樓(11層含以上有電梯)","商業用","鋼骨鋼筋混凝土造","0721005","30.73","300","10","300","有","無","有","25910","843","","0.0","0","租賃建物部分範圍，且未計入共有部分面積；","RPUOMLKLLHKGFDA87CC","分租套房","有","1140314~1150313","有","冷氣、電視機、冰箱","一般轉租","a_lvr_land_c.csv"
"南港區","租賃房屋","臺北市南港區南港路一段４９號","0.0","","","","1140320","土地0建物1車位0","一層","3","公寓(5樓含以下無電梯)","住家用","加強磚造","0530224","93.78","0","0","0","無","無","無","65000","693","","0.0","0","","RPVOMLKLLHKGFDA97CC","","無","1140601~1200531","無","","","a_lvr_land_c.csv"
"松山區","租賃房屋+車位","臺北市松山區南京東路五段２３４號１１樓之３","0.0","","","","1140319","土地0建物1車位1","十一層","16","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0711110","185.53","2","1","2","有","有","無","60000","361","坡道平面","33.28","5000","","RPWOMLKLLHKGFDA08CC","","有","1140405~1160404","有","","","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區南京東路４段７５巷６號２樓","0.0","","","","1140319","土地0建物1車位0","二層","8","華廈(10層含以下有電梯)","商業用","鋼筋混凝土造","0780902","34.94","1","0","1","有","無","有","18900","541","","0.0","0","","RPXOMLKLLHKGFDA18CC","獨立套房","無","1140320~1150319","有","冷氣、熱水器、洗衣機、電視機","社會住宅包租轉租","a_lvr_land_c.csv"
"信義區","租賃房屋","臺北市信義區忠孝東路五段７９０巷５９弄３號三樓","0.0","","","","1140314","土地0建物0車位0","三層","4","公寓(5樓含以下無電梯)","住家用","加強磚造","0590115","43.68","5","2","2","有","無","有","25000","572","","0.0","0","此件租賃格局為2/1/1","RPPPMLKLLHKGFDA47CC","分租套房","無","1140101~1141003","無","冷氣、熱水器、洗衣機、電視機、冰箱","一般轉租","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區忠誠路二段４１巷３２號三樓","0.0","","","","1140311","土地0建物1車位0","三層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0740212","125.34","3","2","2","有","無","無","33000","263","","0.0","0","","RPPNMLKLLHKGFEA37CC","整棟(戶)出租","無","1140311~1150324","無","冷氣、熱水器、瓦斯或天然氣","","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區延平北路五段８３巷２８弄６號四樓","0.0","","","","1140313","土地0建物1車位0","四層","4","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0661117","28.52","1","1","2","有","無","有","17000","596","","0.0","0","因系統格局數需輸入整數，現況格局為1/1/1.5含增建或未登記建物；","RPQNMLKLLHKGFEA47CC","整棟(戶)出租","無","1140313~1150312","無","冷氣、洗衣機、電視機、冰箱","","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區中正路６０１號３樓之８","0.0","","","","1140313","土地0建物1車位0","三層","12","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造","0690111","89.89999999999999","3","1","2","有","有","有","28000","311","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPRNMLKLLHKGFEA57CC","整棟(戶)出租","有","1140320~1150319","有","熱水器、冰箱","社會住宅包租轉租","a_lvr_land_c.csv"
"北投區","租賃房屋","臺北市北投區崗山路１６之６號３樓","0.0","","","","1140315","土地0建物1車位0","三層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0690729","104.44","3","2","2","有","無","有","35000","335","","0.0","0","續租案件；","RPSNMLKLLHKGFEA67CC","整棟(戶)出租","無","1140318~1150317","無","冷氣、熱水器、洗衣機、電視機、冰箱","社會住宅代管","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區忠誠路二段１４０巷１５弄１７號","0.0","","","","1140317","土地0建物0車位0","全","2","透天厝","住家用","加強磚造","0621114","26.45","5","1","3","有","無","有","16500","624","","0.0","0","本案為分租套房，本間為201室，租金包含水、網路第四台及垃圾處理費等其他費用。租金總額含水費；網路費；其他垃圾處理費；續租案件；","RPTNMLKLLHKGFEA77CC","分租套房","無","1140326~1150325","無","冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路","一般轉租","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區忠誠路二段１４０巷１５弄１７號","0.0","","","","1140315","土地0建物0車位0","全","2","透天厝","住家用","加強磚造","0621114","39.67","5","1","3","有","無","有","29500","744","","0.0","0","本案為分租套房，本間101室為三房一廳一衛，租金包含水、網路第四台及垃圾處理費等其他費用。租金總額含水費；網路費；其他垃圾處理費；續租案件；","RPVNMLKLLHKGFEA97CC","分租套房","無","1140321~1150320","無","冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路","一般轉租","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區德行東路６９號","0.0","","","","1140318","土地0建物1車位0","全","2","透天厝","住家用","加強磚造","0590504","201.86","0","0","0","無","無","無","32000","159","","0.0","0","","RPOOMLKLLHKGFEA37CC","分層出租","無","1140318~1170331","無","","","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區承德路四段３３２號三樓","0.0","","","","1140314","土地0建物0車位0","三層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0700820","19.650000000000002","5","0","4","有","無","有","15000","763","","0.0","0","","RPPOMLKLLHKGFEA47CC","分租套房","無","1140314~1150313","無","冷氣、熱水器、洗衣機、電視機、冰箱","一般轉租","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區承德路四段３３２號三樓","0.0","","","","1140314","土地0建物0車位0","三層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0700820","19.650000000000002","5","0","4","有","無","有","15000","763","","0.0","0","","RPQOMLKLLHKGFEA57CC","分租套房","無","1140314~1150313","無","冷氣、熱水器、洗衣機、電視機、冰箱","一般轉租","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區辛亥路三段１５７巷２４弄１９號三樓","0.0","","","","1140315","土地0建物1車位0","三層","4","公寓(5樓含以下無電梯)","","鋼筋混凝土造","0650622","104.18","3","2","1","有","無","無","32000","307","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPQNMLKLLHKGFFA57CC","整棟(戶)出租","無","1140316~1150315","無","冷氣、熱水器、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區仁愛路四段６２號十四樓之４","0.0","","","","1140314","土地0建物1車位0","十四層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0661212","55.09","1","0","1","有","有","無","20000","363","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPRNMLKLLHKGFFA67CC","獨立套房","有","1140320~1150319","有","冷氣、熱水器、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區和平東路二段１０７巷１８號二樓之２","0.0","","","","1140314","土地0建物1車位0","二層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0980715","29.47","1","0","1","有","有","無","18000","611","","0.0","0","此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。","RPSNMLKLLHKGFFA77CC","獨立套房","有","1140315~1150314","有","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區光復南路３４６巷２２號","0.0","","","","1140311","土地0建物1車位0","一層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0680328","118.89","2","1","1","有","無","無","170668","1436","","0.0","0","租賃期間含免租金裝潢期114年3月16日至114年4月30日。租金總額含稅；其他二代健保費；租賃期間有約定不同租金自116年5月1日起，至119年4月30日止，每月租金新台幣壹拾捌萬貳仟零肆拾陸元整。；","RPWNMLKLLHKGFFA18CC","","無","1140316~1190430","有","","","a_lvr_land_c.csv"
"文山區","租賃房屋","臺北市文山區溪洲街２３巷３號","0.0","","","","1140311","土地0建物1車位0","全","2","透天厝","住家用","磚造","0561015","44.52","2","2","1","有","無","有","25000","562","","0.0","0","多人共同承租2；","RPPNMLLLLHKGFAA07CC","整棟(戶)出租","無","1140311~1150310","無","冷氣、熱水器、洗衣機、冰箱","社會住宅代管","a_lvr_land_c.csv"
"文山區","租賃房屋","臺北市文山區興隆路二段１３３號四樓","0.0","","","","1140318","土地0建物1車位0","四層","4","公寓(5樓含以下無電梯)","住家用","加強磚造","","64.57","2","1","1","有","無","無","18000","279","","0.0","0","","RPRNMLLLLHKGFAA27CC","整棟(戶)出租","無","1140320~1150319","無","冷氣、熱水器、洗衣機、冰箱","社會住宅代管","a_lvr_land_c.csv"
"中正區","租賃房屋","臺北市中正區羅斯福路二段１５０號１１樓之４","0.0","","","","1140314","土地0建物1車位0","十一層","15","辦公商業大樓","一般事務所","鋼筋混凝土造","0921203","45.47","1","0","1","有","有","有","20000","440","","0.0","0","續租案件；","RPVNMLLLLHKGFAA67CC","獨立套房","有","1140410~1150409","有","冷氣、熱水器、冰箱","社會住宅代管","a_lvr_land_c.csv"
"文山區","租賃房屋+車位","臺北市文山區新光路一段３２巷１９號五樓","0.0","","","","1140311","土地0建物1車位1","五層","12","住宅大樓(11層含以上有電梯)","集合住宅","鋼骨鋼筋混凝土造","1120602","158.76","3","2","2","有","有","無","49000","309","坡道平面","37.92","0","承租車位為同社區他戶產權之車位，面積依謄本持分比例6526/1000000面積登錄。租金總額含管理費；","RPQOMLLLLHKGFAA27CC","整棟(戶)出租","有","1140401~1160331","有","冷氣、熱水器、洗衣機、瓦斯或天然氣","","a_lvr_land_c.csv"
"萬華區","租賃房屋","臺北市萬華區萬大路４２３巷２８弄３號四樓","0.0","","","","1140315","土地0建物1車位0","四層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0870824","194.11","2","2","2","有","有","有","35000","180","","0.0","0","","RPVNMLLLLHKGFBA77CC","整棟(戶)出租","有","1140401~1150331","有","冷氣、熱水器、洗衣機、冰箱","社會住宅代管","a_lvr_land_c.csv"
"大同區","租賃房屋","臺北市大同區延平北路一段２２號六樓之四","0.0","","","","1140317","土地0建物1車位0","六層","11","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造","0670530","27.090000000000003","1","1","1","有","有","無","17000","628","","0.0","0","續租案件；","RPXNMLLLLHKGFBA97CC","獨立套房","有","1140322~1150321","有","冷氣、熱水器、洗衣機、電視機、冰箱","社會住宅包租轉租","a_lvr_land_c.csv"
"大同區","租賃房屋","臺北市大同區民權西路１２２號十一樓之１","0.0","","","","1140317","土地0建物1車位0","十一層","14","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0970623","40.25","1","1","1","有","有","有","22000","547","","0.0","0","","RPOOMLLLLHKGFBA17CC","獨立套房","有","1140322~1150321","有","熱水器、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"萬華區","租賃房屋","臺北市萬華區和平西路三段１４３號３樓","0.0","","","","1140313","土地0建物1車位0","三層","10","華廈(10層含以下有電梯)","商業用","鋼筋混凝土造","0750221","147.82","3","2","2","有","有","有","30000","203","","0.0","0","續租案件；","RPSOMLLLLHKGFBA57CC","整棟(戶)出租","無","1140411~1150410","有","冷氣、熱水器、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"大同區","租賃房屋","臺北市大同區民權西路２６８號３樓之５","0.0","","","","1140311","土地0建物1車位0","三層","15","辦公商業大樓","Ｇ２第２８組一般事務所","鋼筋混凝土造","1110209","113.66","0","1","1","有","有","無","42000","370","","0.0","0","","RPTOMLLLLHKGFBA67CC","","有","1140401~1190331","有","","","a_lvr_land_c.csv"
"大同區","租賃房屋","臺北市大同區市民大道一段２１１號１０樓之２","0.0","","","","1140315","土地0建物1車位0","十層","18","住宅大樓(11層含以上有電梯)","一般事務所","鋼骨造","0980724","57.79","0","0","0","無","有","無","48925","847","","0.0","0","租金總額含稅；","RPUOMLLLLHKGFBA77CC","","有","1140401~1160331","有","冷氣、熱水器、冰箱","","a_lvr_land_c.csv"
"內湖區","租賃房屋","臺北市內湖區瑞光路１２２巷４１弄４號三樓","0.0","","","","1140319","土地0建物1車位0","三層","3","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0860519","103.63","3","2","2","有","有","有","35000","338","","0.0","0","此為臺北市社會住宅包租代管計畫之物件，評定市價租金為38900元，因選擇代管方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額為35000元。","RPRNMLLLLHKGFCA47CC","整棟(戶)出租","有","1140501~1150430","無","冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"內湖區","租賃房屋","臺北市內湖區堤頂大道二段２８３號５樓-１","0.0","","","","1140317","土地0建物1車位0","五層","6","廠辦","工業用","鋼筋混凝土造","0890118","205.62","3","0","1","有","無","無","47250","230","","0.0","0","此租賃物為增建，承租坪數約62.2坪租金總額含稅；含增建或未登記建物；","RPSNMLLLLHKGFCA57CC","","無","1140501~1200430","有","冷氣","","a_lvr_land_c.csv"
"中山區","租賃房屋+車位","臺北市中山區松江路６０號１３樓之１","0.0","","","","1140311","土地0建物1車位1","十三層","14","住宅大樓(11層含以上有電梯)","第二組多戶住宅","鋼筋混凝土造","1051223","260.32","3","2","2","有","有","有","125000","480","坡道平面","42.74","0","","RPTNMLLLLHKGFCA67CC","整棟(戶)出租","有","1140401~1160331","有","冷氣、熱水器、冰箱、瓦斯或天然氣","","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區松江路１２４巷１３號","0.0","","","","1140315","土地0建物1車位0","一層","4","店面(店鋪)","住家用","鋼筋混凝土造","0600829","76.19","0","1","1","有","無","無","65000","853","","0.0","0","114年4月1日起至114年4月30日止為免租裝潢期。","RPPOMLLLLHKGFCA37CC","","無","1140401~1170331","無","","","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區農安街７７巷１６號３樓","0.0","","","","1140319","土地0建物1車位0","三層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0730901","109.59","3","2","2","有","無","有","35000","319","","0.0","0","續租案件；","RPVOMLLLLHKGFCA97CC","整棟(戶)出租","無","1140412~1150411","無","冷氣、熱水器、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"內湖區","租賃房屋+車位","臺北市內湖區洲子街１０８號","0.0","","","","1140313","土地0建物1車位1","一層","10","店面(店鋪)","工業用","鋼筋混凝土造","0871015","247.9","0","0","0","無","有","無","150000","605","坡道平面","32.28","0","","RPWOMLLLLHKGFCA08CC","","有","1140401~1190515","有","冷氣","","a_lvr_land_c.csv"
"內湖區","租賃房屋","臺北市內湖區內湖路一段２８５巷６９弄１６號７樓","0.0","","","","1140313","土地0建物1車位0","七層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0701230","110.24000000000001","4","2","2","有","有","有","25000","227","","0.0","0","管理費：150元，租金不含管理費","RPRPMLLLLHKGFCA67CC","整棟(戶)出租","有","1140401~1150331","有","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"信義區","租賃房屋","臺北市信義區松仁路２５３巷３弄７號二樓","37.25","住","","","1140312","土地1建物1車位0","二層","4","公寓(5樓含以下無電梯)","住家用","加強磚造","0571224","101.35","4","2","1","有","無","無","32000","316","","0.0","0","","RPQNMLLLLHKGFDA47CC","整棟(戶)出租","無","1140312~1170331","無","熱水器、瓦斯或天然氣","","a_lvr_land_c.csv"
"信義區","租賃房屋","臺北市信義區莊敬路３９１巷６號","11.98","住","","","1140313","土地2建物1車位0","一層","7","店面(店鋪)","見使用執照","鋼筋混凝土造","0711223","103.63000000000001","3","0","1","有","無","無","46000","444","","0.0","0","","RPRNMLLLLHKGFDA57CC","","無","1140405~1190404","有","","","a_lvr_land_c.csv"
"信義區","租賃房屋","臺北市信義區虎林街１１９巷８之３號","0.0","","","","1140311","土地0建物1車位0","四層","4","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0561012","44.5","1","1","1","有","無","無","15000","337","","0.0","0","","RPTNMLLLLHKGFDA77CC","獨立套房","無","1140311~1150310","無","熱水器","社會住宅代管","a_lvr_land_c.csv"
"信義區","租賃房屋+車位","臺北市信義區光復南路４７５之１號","0.0","","","","1140314","土地0建物1車位1","一層","12","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造","0760917","93.43","0","0","0","無","有","無","48925","524","坡道平面","0.0","0","租金總額含稅；","RPVNMLLLLHKGFDA97CC","","有","1140320~1150319","有","冷氣","","a_lvr_land_c.csv"
"南港區","租賃房屋","臺北市南港區南深路３３之４號","0.0","","","","1140320","土地0建物1車位0","一層","10","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0880316","32.41","1","0","1","有","有","有","16000","494","","0.0","0","","RPWNMLLLLHKGFDA08CC","獨立套房","有","1140326~1150325","有","冷氣、熱水器、洗衣機、冰箱","社會住宅包租轉租","a_lvr_land_c.csv"
"南港區","租賃房屋","臺北市南港區成福路１６８號地下一層之１","0.0","","","","1140315","土地0建物1車位0","地下一層","6","華廈(10層含以下有電梯)","商業用","鋼筋混凝土造","0840627","54.79","1","1","1","有","有","有","12000","219","","0.0","0","","RPXNMLLLLHKGFDA18CC","獨立套房","有","1140320~1150319","有","冷氣、熱水器、冰箱","社會住宅代管","a_lvr_land_c.csv"
"信義區","租賃房屋","臺北市信義區松仁路２２８巷９弄２號３樓","0.0","","","","1140320","土地0建物1車位0","三層","4","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0600620","96.49","3","1","1","有","無","有","26000","269","","0.0","0","","RPPOMLLLLHKGFDA47CC","整棟(戶)出租","無","1140320~1160222","無","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區南京東路五段４０號１３樓之５","0.0","","","","1140313","土地0建物1車位0","十三層","19","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0790216","45.849999999999994","1","1","1","有","有","有","26800","585","","0.0","0","續租案件；","RPQOMLLLLHKGFDA57CC","獨立套房","有","1140412~1150411","有","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"南港區","租賃房屋","臺北市南港區研究院路二段１２巷１４弄３４號二樓","0.0","","","","1140312","土地0建物1車位0","二層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0700803","84.79","3","2","1","有","無","無","29000","342","","0.0","0","","RPUOMLLLLHKGFDA97CC","整棟(戶)出租","無","1140401~1160331","無","冷氣、熱水器","","a_lvr_land_c.csv"
"信義區","租賃房屋","臺北市信義區松山路６５０巷１５弄２４號２樓","0.0","","","","1140320","土地0建物1車位0","二層","4","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0670515","58.35","2","1","1","有","無","有","19900","341","","0.0","0","","RPVOMLLLLHKGFDA08CC","整棟(戶)出租","無","1140324~1150323","無","冷氣、熱水器、電視機、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"南港區","租賃房屋","臺北市南港區東新街１０之６號四樓","0.0","","","","1140316","土地0建物0車位0","四層","4","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0690304","12.0","4","1","2","有","無","有","14300","1192","","0.0","0","","RPQPMLLLLHKGFDA67CC","分租雅房","無","1140320~1150320","無","冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路","一般轉租","a_lvr_land_c.csv"
"北投區","租賃房屋","臺北市北投區復興一路３號４樓","0.0","","","","1140311","土地0建物1車位0","四層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0740809","111.75999999999999","3","2","2","有","無","有","25000","224","","0.0","0","續租案件；","RPSNMLLLLHKGFEA77CC","整棟(戶)出租","無","1140401~1150331","無","熱水器、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"北投區","租賃房屋","臺北市北投區行義路１５８巷１５號２樓","0.0","","","","1140312","土地0建物1車位0","二層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0751229","112.96000000000001","3","2","2","有","無","有","30000","266","","0.0","0","續租案件；","RPTNMLLLLHKGFEA87CC","整棟(戶)出租","無","1140420~1150419","無","冷氣、熱水器","社會住宅代管","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區大西路３號５樓","0.0","","","","1140318","土地0建物1車位0","五層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0800527","40.05","3","1","1","有","無","有","18500","462","","0.0","0","續租案件；","RPXNMLLLLHKGFEA28CC","整棟(戶)出租","無","1140331~1160330","無","冷氣、熱水器、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區大安路一段８４巷４號１樓","0.0","","","","1140319","土地0建物1車位0","一層","3","公寓(5樓含以下無電梯)","","加強磚造","","149.88","0","0","0","無","無","無","63000","420","","0.0","0","租金總額含稅；租賃建物部分範圍，且未計入共有部分面積；","RPRNMLLLLHKGFFA77CC","","無","1140501~1170430","無","","","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區延吉街１３１巷３３號","0.0","","","","1140313","土地0建物1車位0","一層","7","店面(店鋪)","見使用執照","鋼筋混凝土造","0700129","63.97","0","0","1","有","有","無","113779","1779","","0.0","0","僅租右側店面約20坪 另有地下室一併使用無謄本租金總額含稅；含增建或未登記建物；","RPTNMLLLLHKGFFA97CC","","有","1140501~1190430","有","冷氣","","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區永康街２號５樓之１","0.0","","","","1140314","土地0建物1車位0","五層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0850302","37.23","1","1","1","有","有","有","27000","725","","0.0","0","租金總額含管理費；網路費；","RPVNMLLLLHKGFFA18CC","獨立套房","無","1140314~1160313","有","冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路","一般轉租","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區和平東路二段３４７號８樓","0.0","","","","1140320","土地0建物1車位0","八層","14","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造","0850930","35.07","1","1","1","有","有","有","18000","513","","0.0","0","","RPXNMLLLLHKGFFA38CC","獨立套房","有","1140321~1150320","有","冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"大安區","租賃房屋","臺北市大安區金山南路二段１６９號３樓","0.0","","","","1140313","土地0建物1車位0","三層","6","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0890321","77.94","2","1","1","有","無","有","26000","334","","0.0","0","","RPQOMLLLLHKGFFA77CC","整棟(戶)出租","無","1140323~1150322","有","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"松山區","租賃房屋","臺北市松山區光復南路１３巷２９號五樓","0.0","","","","1140315","土地0建物1車位0","五層","6","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0780613","136.07","3","2","2","有","無","有","44000","323","","0.0","0","","RPQNMLMLLHKGFDA57CC","整棟(戶)出租","無","1140401~1170331","有","冷氣、熱水器、冰箱、瓦斯或天然氣","","a_lvr_land_c.csv"
