鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,source_file
"士林區","房地(土地+建物)+車位","臺北市士林區中山北路七段８１巷１６弄１６號十一樓","17.21","住","","","1121218","土地1建物1車位1","十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131220","126.53","2","1","2","有","有","29550000","306727","坡道平面","38.83","2650000","預售屋、或土地及建物分件登記案件；","RPXNMLRJMHKGFEA68DA","51.62","0.0","7.39","有","","a_lvr_land_a.csv"
"士林區","房地(土地+建物)","臺北市士林區中山北路七段８１巷１６弄２０號九樓","12.09","住","","","1120815","土地1建物1車位0","九層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131220","61.58","1","1","1","有","有","18570000","301559","","0.0","0","預售屋、或土地及建物分件登記案件；","RPPOMLRJMHKGFEA97DA","38.66","0.0","2.78","有","","a_lvr_land_a.csv"
"士林區","房地(土地+建物)+車位","臺北市士林區中山北路七段８１巷１６弄１６號十二樓","17.21","住","","","1110104","土地1建物1車位1","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131220","126.53","1","1","1","有","有","29500000","306727","坡道平面","38.83","2600000","預售屋、或土地及建物分件登記案件；","RPWNMLRJMHKGFEA58DA","51.62","0.0","7.39","有","","a_lvr_land_a.csv"
"大安區","房地(土地+建物)+車位","臺北市大安區金華街１６２號五樓之１","22.28","住","","","1100808","土地2建物1車位1","五層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","1131029","155.44","3","2","2","有","有","52450000","428127","坡道平面","39.82","2950000","因建物登記面積減少，買賣金額減少142176元，找補後總價52307824元正。預售屋、或土地及建物分件登記案件；","RPXNMLRJLHKGFFA78EA","66.51","0.0","8.67","有","","a_lvr_land_a.csv"
"大安區","房地(土地+建物)+車位","臺北市大安區金華街１６２號四樓之１","22.28","住","","","1100730","土地2建物1車位2","四層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","1131029","195.26","3","2","2","有","有","55100000","425532","升降平面","79.64","5900000","因建物登記面積減少，買賣金額減少141311元，找補後總價54958689元正。預售屋、或土地及建物分件登記案件；","RPWNMLRJLHKGFFA68EA","66.51","0.0","8.67","有","","a_lvr_land_a.csv"
"南港區","房地(土地+建物)+車位","臺北市南港區興南街１３０號七樓","22.58","住","","","1100503","土地1建物1車位1","七層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","1130712","139.32","3","2","2","有","有","28060000","261170","升降平面","41.07","2400000","預售屋、或土地及建物分件登記案件；","RPTNMLKKMHKGFDA57DA","56.66","0.0","5.29","有","","a_lvr_land_a.csv"
"北投區","房地(土地+建物)+車位","臺北市北投區大業路３８６號十三樓","13.71","住","","","1100221","土地1建物1車位1","十三層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131231","155.7","3","2","2","有","有","27700000","207415","坡道平面","33.24","2300000","原買方紀OO與新買方李OO於110.10.4 簽立權利義務移轉證明更名轉讓轉售金額2800萬車位250萬預售屋、或土地及建物分件登記案件；","RPVNMLLKMHKGFEA97DA","74.61","0.0","6.27","有","","a_lvr_land_a.csv"
"北投區","房地(土地+建物)+車位","臺北市北投區大業路３９２號四樓","14.74","住","","","1100224","土地1建物1車位1","四層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131231","164.8","3","2","2","有","有","29880000","206598","坡道平面","33.24","2700000","原買方劉OO與新買方楊OO於113.5.24 簽立權利義務移轉證明更名轉讓總價款不變預售屋、或土地及建物分件登記案件；","RPSNMLRLLHKGFEA28DA","80.12","0.0","6.77","有","","a_lvr_land_a.csv"
"信義區","房地(土地+建物)+車位","臺北市信義區吳興街６００巷２２號三樓","22.8","住","","","1090502","土地2建物1車位1","三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131126","156.86","3","2","2","有","無","28880000","219091","坡道平面","36.91","2600000","預售屋、或土地及建物分件登記案件；","RPTOMLLLLHKGFDA87EA","71.21","0.0","9.06","有","","a_lvr_land_a.csv"
"信義區","房地(土地+建物)+車位","臺北市信義區吳興街６００巷２２號十三樓","22.8","住","","","1090515","土地2建物1車位1","十三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1131126","156.91","3","2","2","有","無","31380000","239833","坡道平面","36.91","2600000","113.5.28換約取得總價3388萬元預售屋、或土地及建物分件登記案件；","RPVOMLLLLHKGFDA08EA","71.21","0.0","9.06","有","","a_lvr_land_a.csv"
