編號,鄉鎮市區,土地位置建物門牌,租賃年月日,總額元,出租型態,租賃天數,主要用途,主要用途分類,租賃層次,租賃層次分類,總樓層數,建物型態,交易筆棟數-土地,交易筆棟數-建物,租賃住宅服務,有無管理組織,有無管理員,有無附傢俱,有無電梯,主要建材,主要建材分類,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,建物總面積平方公尺,單價元平方公尺,建築完成年月,屋齡,屋齡分類,附屬設備-冷氣,附屬設備-熱水器,附屬設備-洗衣機,附屬設備-電視機,附屬設備-冰箱,附屬設備-瓦斯或天然氣,附屬設備-有線電視,附屬設備-網路
RPSNMLRLKHJGFEA18CC,士林區,臺北市士林區忠誠路二段１８２號６樓,2024-02-07,130000,整棟(戶)出租,729,住家用,住宅類,六層,低樓層,26,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼骨混凝土造,鋼筋混凝土造類,3,2,2,1,247.4,525,1995-11-03,28,20-30年,1,1,1,1,1,1,1,1
RPRNMLRLKHJGFFA18CC,大安區,臺北市大安區忠孝東路四段７６號６樓之６,2024-02-17,50000,NA,772,住家用,住宅類,六層,低樓層,12,辦公商業大樓,0,1,NA,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,2,1,89.12,561,1977-01-18,47,40年以上,1,0,0,0,0,0,0,0
RPSNMLRLKHJGFFA28CC,大安區,臺北市大安區仁愛路４段２３０號９樓之４,2024-01-29,88747,NA,1094,住家用,住宅類,九層,低樓層,12,住宅大樓(11層含以上有電梯),0,2,NA,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,6,0,1,1,243.81,364,1978-09-12,45,40年以上,1,0,0,0,0,0,0,0
RPPNMLSLKHJGFAA57CC,文山區,臺北市文山區忠順街二段８５巷７號十樓,2024-02-26,45000,整棟(戶)出租,364,集合住宅,住宅類,十層,低樓層,14,住宅大樓(11層含以上有電梯),0,1,一般轉租,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,2,2,1,113.96000000000001,395,2020-02-13,4,新屋,1,1,0,0,0,1,0,0
RPPNMLSLKHJGFCA77CC,內湖區,臺北市內湖區文湖街９７號５樓,2024-02-19,38000,整棟(戶)出租,365,住家用,住宅類,五層,低樓層,7,華廈(10層含以下有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,2,2,1,137.23000000000002,277,1994-03-18,29,20-30年,1,1,1,0,1,0,0,0
RPPNMLSLKHJGFDA87CC,信義區,臺北市信義區吳興街６００巷７６弄２０號５樓之１,2024-02-18,28700,整棟(戶)出租,364,集合住宅,住宅類,五層,低樓層,6,華廈(10層含以下有電梯),0,1,NA,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,1,2,1,1,76.16,377,2016-03-01,7,5-10年,0,0,0,0,0,0,0,0
RPQNMLSLKHJGFDA97CC,松山區,臺北市松山區民生東路五段２０２號１２樓之１０,2024-02-18,19500,獨立套房,365,住家用,住宅類,十二層,中樓層,20,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,0,0,0,0,37.71,517,1989-06-29,34,30-40年,1,1,1,1,1,1,0,0
RPRNMLSLKHJGFDA08CC,松山區,臺北市松山區健康路３２５巷１２弄２號４樓,2024-02-20,36000,整棟(戶)出租,729,住家用,住宅類,四層,低樓層,5,公寓(5樓含以下無電梯),0,1,NA,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,3,2,2,1,114.76,314,1986-10-20,37,30-40年,0,0,0,0,0,1,0,0
RPPNMLSLKHJGFEA97CC,士林區,臺北市士林區天母東路７７之８號B１,2024-01-31,60000,整棟(戶)出租,365,住家用,住宅類,地下一層,地下室,7,華廈(10層含以下有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,2,2,1,114.43,524,1985-05-08,38,30-40年,1,1,1,1,1,1,0,0
RPRNMLTLKHJGFAA87CC,中正區,臺北市中正區中華路二段２９９號五樓之３４,2024-02-29,11000,整棟(戶)出租,729,住家用,住宅類,五層,低樓層,6,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,35.24,312,1972-06-27,51,40年以上,1,1,1,0,1,0,0,0
RPVNMLTLKHJGFAA28CC,文山區,臺北市文山區興隆路一段２０２巷５弄５號１樓,2024-02-29,25000,整棟(戶)出租,364,住家用,住宅類,一層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,3,2,1,1,98.7,253,1974-04-18,49,40年以上,1,0,0,0,0,1,0,0
RPXPMLTLKHJGFBA78CC,萬華區,臺北市萬華區康定路１０３號７樓之８,2024-02-17,33000,整棟(戶)出租,365,住家用,住宅類,七層,低樓層,26,住宅大樓(11層含以上有電梯),0,1,NA,1,0,0,1,鋼骨造,鋼骨類,2,1,1,1,61.910000000000004,533,2016-03-31,7,5-10年,0,0,0,0,0,0,0,0
RPOQMLTLKHJGFBA97CC,萬華區,臺北市萬華區萬大路１８７巷６０號５樓,2024-02-06,13000,獨立套房,365,住家用,住宅類,五層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,45.88,283,1975-05-08,48,40年以上,1,1,0,0,0,0,0,0
RPWQMLTLKHJGFBA78CC,中正區,臺北市中正區杭州南路一段１１５號５樓之５,2024-02-29,16000,整棟(戶)出租,729,住家用,住宅類,五層,低樓層,10,華廈(10層含以下有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,0,0,0,0,36.04,444,1978-01-13,46,40年以上,1,1,1,0,1,0,0,0
RPPNMLTLKHJGFCA87CC,內湖區,臺北市內湖區大湖山莊街１９０號２樓之４,2024-02-28,18600,獨立套房,480,住家用,住宅類,二層,低樓層,8,華廈(10層含以下有電梯),0,1,社會住宅包租轉租,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,44.69,416,1993-01-05,31,30-40年,1,1,1,1,1,0,0,0
RPQNMLTLKHJGFCA97CC,內湖區,臺北市內湖區民權東路六段２８０巷４５弄３９號３樓之２,2024-02-28,18000,獨立套房,364,住家用,住宅類,三層,低樓層,7,華廈(10層含以下有電梯),0,1,社會住宅包租轉租,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,36.9,488,1994-12-21,29,20-30年,1,1,1,0,0,1,0,0
RPSNMLTLKHJGFCA18CC,內湖區,臺北市內湖區五分街５８號六樓,2024-02-06,15000,獨立套房,365,住家用,住宅類,六層,低樓層,9,華廈(10層含以下有電梯),0,1,社會住宅代管,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,62.35,241,1997-12-03,26,20-30年,1,1,1,0,1,1,0,0
RPPOMLTLKHJGFCA97CC,中山區,臺北市中山區農安街６號１２樓之７,2024-02-17,51000,整棟(戶)出租,172,住家用,住宅類,十二層,中樓層,14,住宅大樓(11層含以上有電梯),0,1,一般轉租,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,52.56999999999999,970,2009-06-22,14,10-20年,1,1,1,1,1,0,1,1
RPROMLTLKHJGFCA18CC,中山區,臺北市中山區農安街８號１４樓之５,2024-02-06,48000,整棟(戶)出租,30,住家用,住宅類,十四層,中樓層,14,住宅大樓(11層含以上有電梯),0,1,一般轉租,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,50.29,954,2009-06-22,14,10-20年,1,1,1,1,1,0,1,1
RPSOMLTLKHJGFCA28CC,中山區,臺北市中山區長安東路一段１１巷４號二樓,2024-02-26,45000,整棟(戶)出租,364,住家用,住宅類,二層,低樓層,4,公寓(5樓含以下無電梯),0,1,NA,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,4,2,2,1,114.37,393,1974-09-09,49,40年以上,1,1,0,1,0,1,0,0
RPTOMLTLKHJGFCA38CC,中山區,臺北市中山區南京東路一段１３２巷１８號４樓,2024-02-21,45000,整棟(戶)出租,89,住家用,住宅類,四層,低樓層,9,華廈(10層含以下有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,2,1,80.25,561,2012-01-09,12,10-20年,0,0,0,0,0,0,0,0
RPPNMLTLKHJGFDA97CC,松山區,臺北市松山區健康路１４１號３樓,2024-02-28,17000,整棟(戶)出租,729,住家用,住宅類,三層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,2,2,1,1,71.42,238,1977-01-05,47,40年以上,1,1,0,0,0,1,0,0
RPRNMLTLKHJGFDA18CC,南港區,臺北市南港區東明街１巷４號４樓,2024-02-17,25000,整棟(戶)出租,364,住家用,住宅類,四層,低樓層,4,公寓(5樓含以下無電梯),0,1,NA,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,3,2,1,1,83.42,300,1976-03-22,47,40年以上,1,0,0,0,0,0,0,0
RPSNMLTLKHJGFDA28CC,信義區,臺北市信義區基隆路一段１０１巷１號４樓之１,2024-02-16,55000,整棟(戶)出租,365,集合住宅,住宅類,四層,低樓層,14,住宅大樓(11層含以上有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,2,2,1,103.06,534,2015-11-18,8,5-10年,0,0,0,0,0,0,0,0
RPTNMLTLKHJGFDA38CC,松山區,臺北市松山區南京東路五段４１５號１２樓之３,2024-02-16,33000,整棟(戶)出租,364,集合住宅,住宅類,十二層,中樓層,12,住宅大樓(11層含以上有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,52.23,632,2017-09-21,6,5-10年,0,0,0,0,0,0,0,0
RPXNMLTLKHJGFDA78CC,信義區,臺北市信義區和平東路三段２０７巷６弄３號三樓之３,2024-02-06,16000,獨立套房,365,住家用,住宅類,三層,低樓層,6,華廈(10層含以下有電梯),0,1,社會住宅包租轉租,1,0,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,33.19,482,1991-03-18,32,30-40年,1,1,1,0,1,0,0,0
RPPOMLTLKHJGFDA08CC,松山區,臺北市松山區八德路四段６３６號４樓之５,2024-02-29,15000,獨立套房,364,住家用,住宅類,四層,低樓層,13,住宅大樓(11層含以上有電梯),0,1,社會住宅包租轉租,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,47.72,314,2013-12-16,10,5-10年,1,1,1,1,1,0,0,1
RPQOMLTLKHJGFDA18CC,松山區,臺北市松山區民生東路五段３９號２樓之２,2024-02-20,46500,整棟(戶)出租,1094,住家用,住宅類,二層,低樓層,7,華廈(10層含以下有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,3,3,2,1,140.51,331,1981-06-02,42,40年以上,0,0,0,0,0,0,0,0
RPTOMLTLKHJGFDA48CC,信義區,臺北市信義區基隆路一段１８６號１１樓之７,2024-02-21,32000,整棟(戶)出租,365,住家用,住宅類,十一層,中樓層,12,住宅大樓(11層含以上有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,53.61,597,1978-04-04,45,40年以上,0,0,0,0,0,0,0,0
RPUOMLTLKHJGFDA58CC,松山區,臺北市松山區光復南路３３巷２０弄９號四樓,2024-02-07,18900,整棟(戶)出租,126,住家用,住宅類,四層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,50.35,375,1972-05-30,51,40年以上,1,0,1,0,0,1,0,0
RPPNMLTLKHJGFEA08CC,北投區,臺北市北投區明德路２９２號３樓,2024-02-07,45000,整棟(戶)出租,90,住家用,住宅類,三層,低樓層,9,華廈(10層含以下有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,71.50999999999999,629,2015-12-04,8,5-10年,0,0,0,0,0,0,0,0
RPRNMLTLKHJGFEA28CC,北投區,臺北市北投區致遠一路一段１５號３樓,2024-02-06,18000,整棟(戶)出租,310,住家用,住宅類,三層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,3,1,1,1,84.41,213,1975-03-05,48,40年以上,1,1,0,0,0,1,0,0
RPSNMLTLKHJGFEA38CC,北投區,臺北市北投區溫泉路９９之４號四樓,2024-02-06,15500,獨立套房,597,住家用,住宅類,四層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,1,1,1,0,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,49.07,316,1985-09-26,38,30-40年,1,1,1,1,1,0,0,0
RPVNMLTLKHJGFEA68CC,北投區,臺北市北投區建民路１１４號四樓,2024-02-06,28000,整棟(戶)出租,365,住家用,住宅類,四層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,2,2,1,1,108.57,258,1976-05-31,47,40年以上,1,1,0,0,0,0,0,0
RPXNMLTLKHJGFEA88CC,士林區,臺北市士林區華齡街３５巷２２號二樓,2024-02-06,28000,整棟(戶)出租,365,住家用,住宅類,二層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,3,1,1,1,91.32,307,1978-08-08,45,40年以上,1,1,0,0,0,1,0,0
RPOOMLTLKHJGFEA08CC,士林區,臺北市士林區忠誠路二段７０巷１６號５樓,2024-02-02,39800,整棟(戶)出租,730,住家用,住宅類,五層,低樓層,5,公寓(5樓含以下無電梯),0,1,NA,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,4,2,2,1,129.24,308,1978-07-20,45,40年以上,1,1,0,0,0,1,0,0
RPQNMLTLKHJGFFA28CC,大安區,臺北市大安區信義路四段５３巷２８號４樓,2024-02-13,33000,整棟(戶)出租,365,住家用,住宅類,四層,低樓層,7,華廈(10層含以下有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,42.769999999999996,772,2022-07-08,1,新屋,0,0,0,0,0,0,0,0
RPSNMLTLKHJGFFA48CC,大安區,臺北市大安區信義路四段６０之７４號五樓,2024-02-07,15000,整棟(戶)出租,242,住家用,住宅類,五層,低樓層,6,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,1,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,31.29,479,1971-03-01,52,40年以上,1,1,1,1,1,1,0,0
RPQNMLLJLHJGFAA86CC,文山區,臺北市文山區指南路３段７７巷８號５樓,2024-02-29,18000,獨立套房,364,多戶住宅,住宅類,五層,低樓層,7,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,39.57,455,2023-08-08,0,新屋,1,1,1,1,1,0,0,0
RPSNMLLJLHJGFAA07CC,文山區,臺北市文山區興隆路二段２４４巷３９弄１３號四樓,2024-02-15,30000,整棟(戶)出租,365,住家用,住宅類,四層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,3,1,2,1,86.63,346,1979-10-23,44,40年以上,1,1,1,1,1,1,0,0
RPPNMLLJLHJGFBA86CC,萬華區,臺北市萬華區青年路１０６巷２號４樓,2024-02-29,15000,獨立套房,364,住家用,住宅類,四層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,36.77,408,1975-04-03,48,40年以上,1,1,1,0,1,0,0,0
RPSNMLLJLHJGFBA17CC,萬華區,臺北市萬華區萬大路３８５之３號４樓,2024-02-15,19900,整棟(戶)出租,364,住家用,住宅類,四層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,3,2,1,1,64.98,306,1984-11-17,39,30-40年,0,1,0,0,0,0,0,0
RPUNMLLJLHJGFBA37CC,大同區,臺北市大同區承德路三段６９號３樓之１,2024-02-19,45000,整棟(戶)出租,1095,第二組多戶住宅（二）集合住宅,住宅類,三層,低樓層,14,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,2,2,1,1,94.38,477,2018-07-23,5,新屋,1,1,1,1,1,1,0,0
RPWNMLLJLHJGFBA57CC,萬華區,臺北市萬華區漢中街１６０號十樓之１,2024-02-07,25000,整棟(戶)出租,365,住家用,住宅類,十層,低樓層,15,住宅大樓(11層含以上有電梯),0,1,社會住宅包租轉租,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,62.709999999999994,399,2022-03-22,1,新屋,1,1,1,1,0,1,0,0
RPXNMLLJLHJGFBA67CC,萬華區,臺北市萬華區中華路二段３３２號四樓之３５,2024-02-15,10000,獨立套房,221,住家用,住宅類,四層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,1,1,1,0,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,28.05,357,1968-08-16,55,40年以上,1,1,1,0,1,0,0,0
RPOOMLLJLHJGFBA86CC,萬華區,臺北市萬華區長泰街１３９巷９號四樓,2024-02-15,25000,整棟(戶)出租,365,住家用,住宅類,四層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,3,1,1,1,83.84,298,1976-10-23,47,40年以上,1,1,1,1,1,1,0,0
RPPOMLLJLHJGFBA96CC,萬華區,臺北市萬華區和平西路三段３８４號七樓之４,2024-02-06,12000,獨立套房,365,住家用,住宅類,七層,低樓層,8,華廈(10層含以下有電梯),0,1,社會住宅包租轉租,1,0,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,33.83,355,1981-07-06,42,40年以上,1,1,1,1,1,0,0,0
RPROMLLJLHJGFBA17CC,大同區,臺北市大同區華陰街７９號六樓之３,2024-01-31,39500,整棟(戶)出租,364,住家用,住宅類,六層,低樓層,13,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,74.87,528,2013-01-18,11,10-20年,1,1,1,1,1,1,0,0
RPSOMLLJLHJGFBA27CC,大同區,臺北市大同區市民大道一段２０７號八樓之３,2024-01-31,50000,整棟(戶)出租,364,住家用,住宅類,八層,低樓層,18,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼骨造,鋼骨類,2,1,1,1,69.34,721,2009-07-24,14,10-20年,1,1,1,1,1,1,0,0
RPUOMLLJLHJGFBA47CC,大同區,臺北市大同區太原路８０號八樓之３,2024-02-02,30200,整棟(戶)出租,365,住家用,住宅類,八層,低樓層,14,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,96.47,313,2008-12-11,15,10-20年,1,1,1,1,1,1,0,0
RPRNMLLJLHJGFCA17CC,中山區,臺北市中山區民權東路二段９號六樓之５,2024-02-07,12000,獨立套房,1095,住家用,住宅類,六層,低樓層,12,住宅大樓(11層含以上有電梯),0,1,社會住宅包租轉租,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,38.66,310,1979-10-22,44,40年以上,1,1,0,1,1,0,0,0
RPVNMLLJLHJGFCA57CC,中山區,臺北市中山區農安街１２５巷３６號２樓之１,2024-02-22,38000,整棟(戶)出租,365,住家用,住宅類,二層,低樓層,7,華廈(10層含以下有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,66.92,568,2018-05-17,5,新屋,0,0,0,0,0,0,0,0
RPWNMLLJLHJGFCA67CC,中山區,臺北市中山區松江路１８４巷２６弄６號７樓之６,2024-02-20,45000,整棟(戶)出租,365,住家用,住宅類,七層,低樓層,9,華廈(10層含以下有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,2,1,1,65.64,686,2008-12-02,15,10-20年,1,1,1,1,1,1,0,1
RPOOMLLJLHJGFCA96CC,中山區,臺北市中山區林森北路５８７號１０樓之２,2024-03-01,56000,整棟(戶)出租,364,住家用,住宅類,十層,低樓層,13,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,89.73,624,2011-07-26,12,10-20年,1,1,1,1,1,0,0,0
RPROMLLJLHJGFCA27CC,中山區,臺北市中山區農安街１９號十樓之８,2024-01-31,38000,整棟(戶)出租,364,住家用,住宅類,十層,低樓層,14,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,73.21000000000001,519,2003-06-18,20,10-20年,1,1,1,1,1,0,0,0
RPSOMLLJLHJGFCA37CC,中山區,臺北市中山區中山北路二段５９巷７號三樓之１,2024-01-31,46400,整棟(戶)出租,364,住家用,住宅類,三層,低樓層,9,華廈(10層含以下有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,98.84,469,2015-11-27,8,5-10年,1,1,1,1,1,1,0,0
RPTOMLLJLHJGFCA47CC,中山區,臺北市中山區五常街１１巷９號三樓之１,2024-01-31,71000,整棟(戶)出租,364,住家用,住宅類,三層,低樓層,17,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,1,2,1,160.06,444,2019-09-18,4,新屋,1,1,1,1,1,1,0,0
RPPNMLLJLHJGFDA07CC,信義區,臺北市信義區信義路六段７６巷２弄３７號五樓,2024-02-07,27500,整棟(戶)出租,365,住家用,住宅類,五層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,3,2,1,1,92.69,297,1978-07-03,45,40年以上,1,1,0,1,0,1,0,0
RPQNMLLJLHJGFDA17CC,信義區,臺北市信義區富陽街４４巷１９號五樓,2024-02-07,25000,整棟(戶)出租,365,住家用,住宅類,五層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,4,2,2,1,105.75,236,1983-01-31,41,40年以上,1,1,0,0,0,1,0,0
RPRNMLLJLHJGFDA27CC,信義區,臺北市信義區信義路五段１２１號６樓,2024-02-21,65000,整棟(戶)出租,364,住家用,住宅類,六層,低樓層,19,住宅大樓(11層含以上有電梯),0,1,NA,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,112.6,577,2009-07-02,14,10-20年,1,0,1,0,1,0,0,0
RPTNMLLJLHJGFDA47CC,信義區,臺北市信義區福德街５１巷１１之１號３樓,2024-02-20,23000,整棟(戶)出租,365,住家用,住宅類,三層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,69.61,330,1972-05-09,51,40年以上,1,1,1,0,1,0,0,0
RPUNMLLJLHJGFDA57CC,信義區,臺北市信義區吳興街１５６巷１號二樓,2024-02-07,19000,整棟(戶)出租,365,住家用,住宅類,二層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅代管,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,71.93,264,1974-12-04,49,40年以上,1,1,0,0,0,1,0,0
RPOOMLLJLHJGFDA07CC,信義區,臺北市信義區基隆路一段３５０號５樓之２８,2024-02-05,13000,整棟(戶)出租,365,住家用,住宅類,五層,低樓層,6,公寓(5樓含以下無電梯),0,1,社會住宅代管,1,1,1,0,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,48.53,268,1973-11-24,50,40年以上,1,1,0,0,1,0,0,0
RPPOMLLJLHJGFDA17CC,信義區,臺北市信義區莊敬路 １９７ 巷 １４ 號 ７ 樓,2024-02-19,44000,整棟(戶)出租,365,住家用,住宅類,七層,低樓層,7,華廈(10層含以下有電梯),0,1,一般轉租,1,0,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,2,2,1,124.92,352,1978-04-25,45,40年以上,1,1,1,0,1,1,0,0
RPROMLLJLHJGFDA37CC,信義區,臺北市信義區永吉路１２７巷１１弄６號５樓之２,2024-02-22,34000,整棟(戶)出租,365,集合住宅,住宅類,五層,低樓層,8,華廈(10層含以下有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,1,1,55.61,611,2017-11-30,6,5-10年,0,0,0,0,0,0,0,0
RPWOMLLJLHJGFDA87CC,松山區,臺北市松山區富錦街１０８號二樓,2024-02-22,31200,整棟(戶)出租,1095,住家用,住宅類,二層,低樓層,4,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,3,2,2,1,100.0,312,1968-01-05,56,40年以上,1,1,0,0,0,0,0,0
RPXOMLLJLHJGFDA97CC,信義區,臺北市信義區松勤街９號７樓之１２,2024-02-23,77700,整棟(戶)出租,81,住家用,住宅類,七層,低樓層,19,住宅大樓(11層含以上有電梯),0,2,NA,1,0,0,1,鋼骨造,鋼骨類,2,1,1,1,97.91,794,2007-12-25,16,10-20年,0,0,0,0,0,0,0,0
RPQPMLLJLHJGFDA37CC,松山區,臺北市松山區南京東路四段５３巷８弄１１號５樓,2024-03-01,53000,NA,729,住家用,住宅類,五層,低樓層,7,華廈(10層含以下有電梯),0,1,NA,0,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,0,0,0,0,136.01,390,1978-02-02,46,40年以上,0,0,0,0,0,0,0,0
RPPNMLLJLHJGFEA17CC,北投區,臺北市北投區泉源路３４號３樓之５,2024-02-22,19500,獨立套房,365,住家用,住宅類,三層,低樓層,10,華廈(10層含以下有電梯),0,1,社會住宅包租轉租,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,40.61,480,1998-01-05,26,20-30年,1,1,1,1,1,0,0,0
RPQNMLLJLHJGFEA27CC,士林區,臺北市士林區社子街２２巷１３號三樓,2024-02-07,15500,整棟(戶)出租,365,住家用,住宅類,三層,低樓層,3,公寓(5樓含以下無電梯),0,1,社會住宅包租轉租,0,0,0,0,加強磚造,加強磚造類,2,1,1,1,74.52,208,1970-10-05,53,40年以上,1,1,1,0,0,0,0,0
RPRNMLLJLHJGFEA37CC,士林區,臺北市士林區華聲街２８號,2024-02-21,28000,整棟(戶)出租,365,住家用,住宅類,一層,低樓層,5,公寓(5樓含以下無電梯),0,1,社會住宅代管,1,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,2,2,1,1,65.82,425,1979-07-24,44,40年以上,1,0,0,0,0,0,0,0
RPUNMLLJLHJGFEA67CC,士林區,臺北市士林區士東路２巷１５號５樓,2024-02-16,65000,整棟(戶)出租,730,住家用,住宅類,五層,低樓層,10,華廈(10層含以下有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,2,2,1,183.99,353,2003-11-06,20,10-20年,1,1,1,1,1,1,1,1
RPVNMLLJLHJGFEA77CC,北投區,臺北市北投區新民路５３之１號２樓之８,2024-02-28,9800,獨立套房,364,住家用,住宅類,二層,低樓層,10,華廈(10層含以下有電梯),0,1,社會住宅包租轉租,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,0,1,1,27.5,356,2008-02-21,16,10-20年,1,1,0,1,1,0,0,0
