編號,鄉鎮市區,土地位置建物門牌,租賃年月日,總額元,出租型態,租賃天數,主要用途,主要用途分類,租賃層次,租賃層次分類,總樓層數,建物型態,交易筆棟數-土地,交易筆棟數-建物,租賃住宅服務,有無管理組織,有無管理員,有無附傢俱,有無電梯,主要建材,主要建材分類,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,建物總面積平方公尺,單價元平方公尺,建築完成年月,屋齡,屋齡分類,附屬設備-冷氣,附屬設備-熱水器,附屬設備-洗衣機,附屬設備-電視機,附屬設備-冰箱,附屬設備-瓦斯或天然氣,附屬設備-有線電視,附屬設備-網路
RPWPMLOJRHIGFCA68CC,內湖區,臺北市內湖區康樂街１８６巷１９號７樓之１,2023-08-31,15000,整棟(戶)出租,365,住家用,住宅類,七層,低樓層,7,華廈(10層含以下有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,34.989999999999995,429,1996-05-17,27,20-30年,1,1,1,1,1,0,0,0
RPOQMLOJRHIGFCA97CC,中山區,臺北市中山區松江路４００號４樓,2023-09-04,26000,整棟(戶)出租,365,住家用,住宅類,四層,低樓層,4,公寓(5樓含以下無電梯),1,1,社會住宅包租轉租,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,2,2,1,1,88.83,293,1974-05-06,49,40年以上,1,1,0,0,0,1,0,0
RPRQMLOJRHIGFCA28CC,中山區,臺北市中山區民生東路二段１６８號７樓,2023-08-06,190000,NA,1142,住家用,住宅類,七層,低樓層,12,辦公商業大樓,0,1,NA,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,0,0,0,0,334.96,567,1982-12-30,40,30-40年,0,0,0,0,0,0,0,0
RPXNMLOJRHIGFDA68CC,信義區,臺北市信義區虎林街３８號４樓,2023-08-28,30000,整棟(戶)出租,365,住家用,住宅類,四層,低樓層,5,公寓(5樓含以下無電梯),0,1,NA,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,3,2,2,1,94.1,319,1985-04-11,38,30-40年,0,0,0,0,0,0,0,0
RPPNMLOJRHIGFEA97CC,士林區,臺北市士林區後港街２０巷１１號５樓,2023-08-26,23500,整棟(戶)出租,365,住家用,住宅類,五層,低樓層,5,公寓(5樓含以下無電梯),0,1,NA,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,3,2,2,1,82.67,284,1978-12-08,44,40年以上,1,1,1,0,1,1,0,0
RPRNMLOJRHIGFEA18CC,北投區,臺北市北投區永興路一段５號３樓,2023-09-01,25000,分層出租,365,住家用,住宅類,三層,低樓層,5,公寓(5樓含以下無電梯),1,1,NA,0,0,0,0,鋼筋混凝土造,鋼筋混凝土造類,2,2,1,1,62.8,398,1977-11-21,45,40年以上,0,0,0,0,0,0,0,0
RPSNMLOJRHIGFEA28CC,北投區,臺北市北投區豐年路二段６６號１樓,2023-08-23,22000,分層出租,1095,住家用,住宅類,一層,低樓層,5,公寓(5樓含以下無電梯),1,1,一般包租,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,1,2,1,1,50.71,434,1977-12-29,45,40年以上,1,1,1,1,0,1,0,0
RPTNMLOJRHIGFFA48CC,大安區,臺北市大安區安和路二段２１３號２樓之１,2023-08-28,51200,NA,1095,住家用,住宅類,二層,低樓層,17,住宅大樓(11層含以上有電梯),0,1,NA,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,2,1,2,1,135.12,379,1985-06-12,38,30-40年,0,0,0,0,0,0,0,0
RPUNMLOJRHIGFFA58CC,大安區,臺北市大安區信義路四段３３７號１０樓,2023-08-17,52000,NA,3652,住家用,住宅類,十層,低樓層,12,住宅大樓(11層含以上有電梯),0,1,NA,1,1,0,1,鋼筋混凝土造,鋼筋混凝土造類,0,0,0,0,124.63000000000001,417,1981-05-19,42,40年以上,1,1,0,0,0,0,0,0
RPWNMLOJRHIGFFA78CC,大安區,臺北市大安區仁愛路四段３４５巷４弄２號１樓,2023-09-04,136534,NA,1872,住家用,住宅類,一層,低樓層,7,店面(店鋪),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,99.01,1379,1973-08-13,50,40年以上,0,0,0,0,0,0,0,0
