"鄉鎮市區","總額元","租賃年月日","出租型態","租賃層次(四類)","總樓層數","建物型態","交易筆棟數-土地","交易筆棟數-建物","租賃住宅服務","租賃天數","有無管理組織","有無管理員","有無附傢俱","有無電梯","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物現況格局-隔間","建物總面積平方公尺","屋齡","建材分類","附屬設備-冷氣","附屬設備-熱水器","附屬設備-洗衣機","附屬設備-電視機","附屬設備-冰箱","附屬設備-瓦斯或天然氣","附屬設備-有線電視","附屬設備-網路","捷運站距離(公尺)","附近建物單位成交均價","捷運線","Predicted","AbsError","MAPE"
"萬華區",25000,19588,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,3,1,1,1,81.25,45,"鋼筋混凝土造類",1,1,1,1,1,0,0,0,1344.68227633028,251.266666666667,"板南線",19997.9086052878,5002.09139471224,0.200083655788489
"內湖區",25000,19600,"整棟(戶)出租","低樓層",4,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,0,0,3,2,1,1,110.76,43,"鋼筋混凝土造類",0,1,0,0,0,0,0,0,588.982517537154,432.178571428571,"文湖線",24415.8612815997,584.138718400311,0.0233655487360124
"南港區",18000,19590,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,3,2,2,1,85.07,38,"鋼筋混凝土造類",1,1,1,1,1,0,0,0,1168.9633697218,314.692307692308,"板南線",24471.3754673409,6471.37546734091,0.359520859296717
"中山區",55000,19606,"整棟(戶)出租","中樓層",15,"住宅大樓(11層含以上有電梯)",0,1,"未知",730,1,1,1,1,2,2,2,1,133,15,"鋼筋混凝土造類",1,1,1,1,1,1,0,0,501.398654240914,518.2,"淡水信義線",63858.2917257655,8858.29172576546,0.161059849559372
"松山區",58000,19596,"未知","低樓層",4,"公寓(5樓含以下無電梯)",1,1,"未知",1125,0,0,0,0,0,0,0,0,66.12,49,"鋼筋混凝土造類",0,1,0,0,0,1,0,0,708.258846289285,491.107142857143,"松山新店線",42676.1432915144,15323.8567084856,0.264204426008373
"南港區",26000,19606,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,1,0,2,2,2,1,110.97,39,"鋼筋混凝土造類",1,1,0,1,1,1,0,0,300.304892505134,371.833333333333,"文湖線",26258.6470706664,258.647070666364,0.00994796425639862
"大同區",55000,19587,"分層出租","低樓層",14,"住宅大樓(11層含以上有電梯)",0,1,"未知",365,1,1,0,1,2,1,1,1,119.16,5,"鋼筋混凝土造類",1,1,1,1,1,1,1,1,352.330372593227,486.777777777778,"淡水信義線",62963.544997085,7963.54499708505,0.144791727219728
"信義區",47500,19605,"整棟(戶)出租","中樓層",15,"住宅大樓(11層含以上有電梯)",0,1,"未知",365,1,0,0,1,2,1,1,1,83.21,15,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,492.125946632387,541.033333333333,"淡水信義線",45919.1154885568,1580.88451144321,0.0332817791882781
"士林區",16000,19605,"整棟(戶)出租","低樓層",4,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,0,0,2,1,1,1,53.25,51,"鋼筋混凝土造類",1,1,0,0,0,1,0,0,300.403224180062,500.642857142857,"淡水信義線",17046.4311688412,1046.43116884123,0.0654019480525769
"大安區",46000,19601,"整棟(戶)出租","低樓層",18,"住宅大樓(11層含以上有電梯)",0,1,"未知",365,1,0,0,1,3,2,1,1,108.82,37,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,455.640522152484,368.7,"文湖線",40957.5722149692,5042.42778503082,0.109617995326757
