"鄉鎮市區","總額元","租賃年月日","出租型態","總樓層數","建物型態","租賃住宅服務","租賃天數","有無電梯","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物總面積平方公尺","屋齡","附屬設備-冷氣","附屬設備-熱水器","附屬設備-洗衣機","附屬設備-電視機","附屬設備-瓦斯或天然氣","附屬設備-有線電視","附屬設備-網路","捷運站距離(公尺)","附近建物單位成交均價","捷運線","Predicted","AbsError","MAPE"
"南港區",26000,19606,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,2,2,2,110.97,39,1,1,0,1,1,0,0,300.304892505134,371.833333333333,"文湖線",25208.0739676474,791.9260323526,0.0304586935520231
"大同區",55000,19587,"分層出租",14,"住宅大樓(11層含以上有電梯)","未知",365,1,2,1,1,119.16,5,1,1,1,1,1,1,1,352.330372593227,486.777777777778,"淡水信義線",63735.9454264672,8735.94542646725,0.158835371390314
"信義區",47500,19605,"整棟(戶)出租",15,"住宅大樓(11層含以上有電梯)","未知",365,1,2,1,1,83.21,15,0,0,0,0,0,0,0,492.125946632387,541.033333333333,"淡水信義線",44920.1086288303,2579.8913711697,0.0543135025509411
"士林區",16000,19605,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,2,1,1,53.25,51,1,1,0,0,1,0,0,300.403224180062,500.642857142857,"淡水信義線",17348.9538129875,1348.95381298746,0.084309613311716
"大安區",46000,19601,"整棟(戶)出租",18,"住宅大樓(11層含以上有電梯)","未知",365,1,3,2,1,108.82,37,0,0,0,0,0,0,0,455.640522152484,368.7,"文湖線",41296.4585569185,4703.54144308151,0.102250900936555
"大安區",32000,19586,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,3,2,2,101.03,54,1,1,0,0,1,0,0,197.384185654064,507.766666666667,"文湖線",32338.9622111162,338.962211116246,0.0105925690973827
"大同區",18500,19611,"整棟(戶)出租",7,"華廈(10層含以下有電梯)","社會住宅代管",365,1,1,0,1,30.09,15,1,1,1,1,0,0,0,126.588090585346,425.55,"中和新蘆線",16511.03068415,1988.96931584996,0.107511854910809
"大同區",20000,19612,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,2,1,1,57.43,47,1,1,1,1,1,0,0,835.920231048124,371.7,"中和新蘆線",16995.4192323127,3004.58076768728,0.150229038384364
"信義區",35000,19605,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,2,2,2,92.77,51,1,1,1,1,1,0,0,404.280145063801,606.571428571429,"板南線",26358.2930319273,8641.7069680727,0.246905913373506
"士林區",35000,19611,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,3,2,2,102.98,52,1,1,0,0,1,0,0,726.86124480401,319.033333333333,"淡水信義線",28768.2193316124,6231.78066838759,0.178050876239645
"中正區",35000,19611,"整棟(戶)出租",7,"華廈(10層含以下有電梯)","社會住宅代管",365,1,1,2,1,56.65,4,1,1,1,1,1,0,0,569.680638255557,377,"松山新店線",27075.3456965183,7924.65430348169,0.226418694385191
"中山區",9800,19598,"整棟(戶)出租",12,"住宅大樓(11層含以上有電梯)","社會住宅代管",365,1,1,0,1,38.01,42,1,1,0,0,0,0,0,203.051799793502,511.1,"中和新蘆線",11923.3275082493,2123.32750824928,0.216666072270335
"北投區",24500,19602,"獨立套房",7,"華廈(10層含以下有電梯)","未知",365,1,1,1,1,39.44,4,1,1,1,1,1,1,1,1219.73806690085,384.8,"淡水信義線",23874.7297011891,625.270298810869,0.0255212366861579
"士林區",28200,19611,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","未知",1095,0,3,2,2,105.05,43,1,1,1,0,1,0,0,505.048937016044,319.941176470588,"淡水信義線",32355.8535484745,4155.85354847454,0.147370693208317
"北投區",19500,19604,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","一般包租",365,0,3,2,2,117.86,42,1,0,0,0,0,0,0,840.016099474618,331,"淡水信義線",30887.7855785312,11387.7855785312,0.58398900402724
"北投區",18500,19612,"整棟(戶)出租",7,"華廈(10層含以下有電梯)","未知",365,1,2,1,1,48.41,45,1,1,0,0,1,0,0,49.6908734221082,309.928571428571,"淡水信義線",22069.2964941331,3569.29649413314,0.192934945628819
"內湖區",18000,19601,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,2,1,1,63.44,39,1,1,1,0,0,0,0,480.519761337534,382.166666666667,"文湖線",22174.9772575488,4174.97725754876,0.231943180974931
"士林區",55000,19613,"未知",5,"公寓(5樓含以下無電梯)","未知",1521,0,0,0,0,126.3,42,0,0,0,0,0,0,0,499.342564972729,480.333333333333,"淡水信義線",63317.0799331176,8317.07993311764,0.151219635147593
"大安區",30000,19610,"整棟(戶)出租",14,"住宅大樓(11層含以上有電梯)","社會住宅代管",365,1,2,2,1,83.38,36,1,1,0,0,0,0,0,422.643383302884,510.866666666667,"文湖線",28404.156950325,1595.84304967496,0.0531947683224986
"萬華區",28000,19599,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,2,2,1,45.17,50,1,1,1,1,0,0,0,469.686606786743,383.866666666667,"板南線",16754.6408220429,11245.3591779571,0.401619970641324
"萬華區",15000,19614,"整棟(戶)出租",12,"住宅大樓(11層含以上有電梯)","社會住宅代管",365,1,2,1,1,46.08,44,1,1,0,0,1,0,0,1232.55892565544,339.233333333333,"松山新店線",17598.3809407455,2598.38094074553,0.173225396049702
"萬華區",26000,19604,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅包租轉租",365,0,3,1,1,86.49,51,1,1,1,0,0,0,0,1399.96769212182,356.2,"板南線",20812.0676535496,5187.93234645035,0.19953585947886
"中山區",102400,19592,"未知",11,"辦公商業大樓","未知",1095,1,0,0,0,245.09,53,0,0,0,0,0,0,0,261.281503166093,530.733333333333,"中和新蘆線",162361.947450723,59961.9474507233,0.58556589307347
"中山區",35000,19614,"未知",4,"店面(店鋪)","未知",1095,0,0,3,1,49.59,47,0,0,0,0,1,0,0,219.390283643679,626.533333333333,"文湖線",46456.4115066203,11456.4115066203,0.327326043046295
"士林區",23000,19604,"整棟(戶)出租",11,"住宅大樓(11層含以上有電梯)","社會住宅代管",365,1,3,1,2,122.46,42,1,1,1,1,1,0,0,385.161692158066,264.375,"淡水信義線",26757.485986023,3757.48598602297,0.163368955914042
"北投區",15000,19611,"整棟(戶)出租",5,"華廈(10層含以下有電梯)","一般轉租",1095,1,1,0,1,66.28,10,1,1,0,1,0,0,0,934.192207359133,263.9,"新北投支線",28290.1092131294,13290.1092131294,0.886007280875293
"萬華區",17000,19606,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","社會住宅包租轉租",365,0,3,1,1,51.81,48,1,1,0,0,0,0,0,1377.05644054039,368.5,"板南線",17063.7862259989,63.7862259989306,0.00375213094111356
"萬華區",7000,19601,"獨立套房",12,"住宅大樓(11層含以上有電梯)","社會住宅代管",365,1,1,1,1,19.1,46,1,1,1,1,0,0,0,649.777506268822,380,"松山新店線",9412.04886147785,2412.04886147785,0.34457840878255
"中山區",60000,19615,"整棟(戶)出租",10,"華廈(10層含以下有電梯)","未知",365,1,4,2,2,229.72,23,1,0,0,0,0,0,0,214.459658019464,526.133333333333,"文湖線",76355.4971337993,16355.4971337993,0.272591618896655
"內湖區",33000,19622,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","未知",1827,0,3,2,2,116.38,33,1,1,0,0,0,0,0,1078.49964738251,265,"文湖線",29393.4155167477,3606.58448325229,0.109290438886433
"信義區",35000,19606,"整棟(戶)出租",6,"華廈(10層含以下有電梯)","社會住宅代管",288,1,3,1,2,107.99,39,1,1,0,0,1,0,0,1508.65567769675,352,"淡水信義線",30215.6901274614,4784.30987253856,0.136694567786816
"北投區",24000,19621,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,3,2,1,97.08,43,1,1,0,0,1,0,0,547.910678181669,257.173913043478,"淡水信義線",22925.602909749,1074.397090251,0.044766545427125
"中山區",33000,19597,"整棟(戶)出租",15,"住宅大樓(11層含以上有電梯)","未知",365,1,1,1,1,63.55,15,1,1,1,1,1,0,0,493.352382603125,511.233333333333,"淡水信義線",36348.3427251198,3348.34272511978,0.101464931064236
"內湖區",19000,19612,"整棟(戶)出租",14,"住宅大樓(11層含以上有電梯)","社會住宅包租轉租",365,1,1,1,1,42.92,14,1,1,0,0,0,0,0,1191.42584477649,393.130434782609,"文湖線",17758.1295870585,1241.87041294154,0.0653616006811338
